Practice Analysis - Part 1 - Deep dive - all KPIs,,,,,,
GROWTH Category,KPIs,Category,Profit Driver,KPI,Score,Description
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,Article Schema Present,,Articles use helpful page code.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,How-To Schema Present,,How-to pages use helpful page code.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,Question Schema Present,,Q&A pages use helpful page code.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,FAQ with Schema,,FAQs use the right page code.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,FAQ Minimum Count,,There are enough FAQ questions.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,Semantic Tags Present,,Headings and HTML are used correctly.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,Medical Terminology Explained,,Medical words are explained simply.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,Plain-Language Indicators,,Writing is easy for anyone to read.
G, 53 of 53,AI Search Readiness,Long-Term SEO + AI Readiness,FAQ Minimum Length,,FAQ answers are long enough to help.
G, 53 of 53,Analytics Setup,ROI Measurement,UTM Parameter Usage,,Campaign links use tracking tags.
G, 53 of 53,Analytics Setup,ROI Measurement,GTM Installed,,Tag Manager is set up.
G, 53 of 53,Analytics Setup,ROI Measurement,GA4 Installed,,Google Analytics is set up.
G, 53 of 53,Bookability,New Patient Flow,Booking Flow Friction,,Booking has as few steps as possible.
G, 53 of 53,Bookability,New Patient Flow,Online Scheduling Present,,Online booking exists.
G, 53 of 53,Bookability,New Patient Flow,CTA Above the Fold,,A big “Book/Call” button shows without scrolling.
G, 53 of 53,Bookability,New Patient Flow,Click-to-Call (Mobile),,Tap-to-call works on phones.
G, 53 of 53,Bookability,New Patient Flow,After-Hours Options,,Options exist for nights or weekends.
G, 53 of 53,Compliance,Risk Mitigation,Privacy Policy Present,,Privacy policy is easy to find.
G, 53 of 53,Compliance,Risk Mitigation,HIPAA-Compliant Forms,,Forms keep health info safe.
G, 53 of 53,Compliance,Risk Mitigation,Accessibility (WCAG),,People with disabilities can use the site.
G, 53 of 53,Compliance,Risk Mitigation,Cookie Consent,,Cookie banner explains tracking.
G, 53 of 53,Compliance,Risk Mitigation,SSL Certificate,,Security certificate is valid.
G, 53 of 53,Content Quality,Trust & Case Acceptance,Service Pages (General),,Basic services are explained clearly.
G, 53 of 53,Content Quality,Trust & Case Acceptance,Service Pages (Specialty),,Special services are explained clearly.
G, 53 of 53,Content Quality,Trust & Case Acceptance,Before/After Gallery,,Before/after photos are easy to view.
G, 53 of 53,Content Quality,Trust & Case Acceptance,Educational Content,,Helpful articles are available.
G, 53 of 53,Content Quality,Trust & Case Acceptance,Video Content,,"Short, useful videos are available."
G, 53 of 53,Content Quality,Trust & Case Acceptance,Membership Plan Visibility,,Check site for if practice has a membership plan
G, 53 of 53,GBP Optimization,Local Discovery,Profile Verification,,Ownership is confirmed.
G, 53 of 53,GBP Optimization,Local Discovery,Profile Completeness,,All profile sections are complete.
G, 53 of 53,GBP Optimization,Local Discovery,Number of Google reviews,,Core reputation signal
G, 53 of 53,GBP Optimization,Local Discovery,Average Star Rating,,Direct patient trust indicator
G, 53 of 53,GBP Optimization,Local Discovery,Recency of Reviews (last 90 days),,Keeps relevance in local algorithm.
G, 53 of 53,GBP Optimization,Local Discovery,Photo/Video Volume on GBP,,Google freshness signal
G, 53 of 53,GBP Optimization,Local Discovery,Posts Frequency,,New posts are added often.
G, 53 of 53,GBP Optimization,Local Discovery,Messaging Enabled,,Messaging is turned on and checked.
G, 53 of 53,GBP/Entity Profiles,Local Discovery,GBP Verified,,Google Business Profile is verified.
G, 53 of 53,GBP/Entity Profiles,Local Discovery,GBP Completeness,,Google Business Profile is filled out.
G, 53 of 53,GBP/Entity Profiles,Local Discovery,Social Profile – Facebook,,Facebook page is active and linked.
G, 53 of 53,GBP/Entity Profiles,Local Discovery,Social Profile – Instagram,,Instagram is active and linked.
G, 53 of 53,GBP/Entity Profiles,Local Discovery,NAP Consistency,,"Name, address, phone match everywhere."
